"code";"POINT_X";"POINT_Y";"name"
1911;123685,320357;539128,737178;"Hollands Kroon"
1916;85825,1824839;455383,635735;"Leidschendam-Voorburg"
1924;65909,6100328;419573,176579;"Goeree-Overflakkee"
1926;88542,9157683;448699,06774;"Pijnacker-Nootdorp"
1930;81508,5361327;428553,740191;"Nissewaard"
1931;110943,801345;439243,132621;"Krimpenerwaard"
1940;177728,211501;547694,592078;"De Fryske Marren"
1942;139150,29446;477526,348268;"Gooise Meren"
1945;194036,039484;424841,764134;"Berg en Dal"
1948;162800,969157;401800,310331;"Meierijstad"
1949;169303,167409;581114,325381;"Waadhoeke"
1950;269922,197634;556747,706856;"Westerwolde"
1952;248548,15672;577110,998585;"Midden-Groningen"
1954;190974,390766;327355,596957;"Beekdaelen"
1955;210584,926265;436571,990074;"Montferland"
1959;127161,555297;421362,850688;"Altena"
1960;143884,683007;430553,906402;"West Betuwe"
1961;133512,981507;439088,448009;"Vijfheerenlanden"
1963;91695,5669492;422499,41036;"Hoeksche Waard"
1966;232455,526648;597416,488699;"Het Hogeland"
1969;218987,855846;579542,909691;"Westerkwartier"
1970;196779,415706;593042,332092;"Noardeast-Fryslân"
1978;116582,514237;433024,030193;"Molenlanden"
1979;253211,401645;594402,288832;"Eemsdelta"
1980;116843,66344;520544,973742;"Dijk en Waard"
1982;188047,808377;410529,482197;"Land van Cuijk"
1991;172160,514317;409558,929167;"Maashorst"
1992;69243,730895;431089,022561;"Voorne aan Zee"
